date,player,sleep_duration
2020-06-27,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-28,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-29,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-06-30,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-01,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-02,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-07-03,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-04,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-05,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-07-06,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-07,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-08,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-09,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-10,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-11,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,9.0
2020-07-12,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-07-13,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-14,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,9.0
2020-07-15,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-07-16,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-17,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-18,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-19,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-20,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-07-22,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-07-23,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,9.0
2020-07-24,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-07-25,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-07-26,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-07-27,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
